rank_test_score,params,mean_test_score,std_test_score,model
1,"{'C': 1, 'max_iter': 1000}",0.9970760233918128,0.004714770613040063,SVM
1,"{'C': 1, 'max_iter': -1}",0.9970760233918128,0.004714770613040063,SVM
1,"{'C': 1, 'max_iter': 5000}",0.9970760233918128,0.004714770613040063,SVM
1,"{'C': 1, 'max_iter': 500}",0.9970760233918128,0.004714770613040063,SVM
1,"{'C': 1, 'max_iter': 100}",0.9970760233918128,0.004714770613040063,SVM
6,"{'C': 100, 'max_iter': 1000}",0.996955409356725,0.00629016220325392,SVM
6,"{'C': 100, 'max_iter': 500}",0.996955409356725,0.00629016220325392,SVM
6,"{'C': 100, 'max_iter': 100}",0.996955409356725,0.00629016220325392,SVM
6,"{'C': 100, 'max_iter': 5000}",0.996955409356725,0.00629016220325392,SVM
6,"{'C': 100, 'max_iter': -1}",0.996955409356725,0.00629016220325392,SVM
11,"{'C': 0.01, 'max_iter': 100}",0.9964912280701755,0.007489034195827893,SVM
11,"{'C': 0.01, 'max_iter': 500}",0.9964912280701755,0.007489034195827893,SVM
11,"{'C': 0.01, 'max_iter': 1000}",0.9964912280701755,0.007489034195827893,SVM
11,"{'C': 0.01, 'max_iter': 5000}",0.9964912280701755,0.007489034195827893,SVM
11,"{'C': 0.01, 'max_iter': -1}",0.9964912280701755,0.007489034195827893,SVM
16,"{'C': 0.1, 'max_iter': 5000}",0.9959064327485381,0.007420220783888606,SVM
16,"{'C': 0.1, 'max_iter': 1000}",0.9959064327485381,0.007420220783888606,SVM
16,"{'C': 0.1, 'max_iter': 500}",0.9959064327485381,0.007420220783888606,SVM
16,"{'C': 0.1, 'max_iter': 100}",0.9959064327485381,0.007420220783888606,SVM
16,"{'C': 0.1, 'max_iter': -1}",0.9959064327485381,0.007420220783888606,SVM
21,"{'C': 10, 'max_iter': 100}",0.9934868421052633,0.008900522478092145,SVM
21,"{'C': 10, 'max_iter': 500}",0.9934868421052633,0.008900522478092145,SVM
21,"{'C': 10, 'max_iter': 1000}",0.9934868421052633,0.008900522478092145,SVM
21,"{'C': 10, 'max_iter': 5000}",0.9934868421052633,0.008900522478092145,SVM
21,"{'C': 10, 'max_iter': -1}",0.9934868421052633,0.008900522478092145,SVM
